Delitos Faltas: Nivel 1;Delitos Faltas: Nivel 2;Delitos Faltas: Nivel 3;Delitos Faltas: Nivel 4;Delitos Faltas: Nivel 5;Edad;Periodo;Total
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.5 Prostitución y corrupción menores;;17 años;2014;""
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.5 Prostitución y corrupción menores;;17 años;2013;""
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;Total;2023;10
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;Total;2022;21
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;Total;2021;378
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;Total;2020;264
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;Total;2019;323
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;Total;2018;244
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;Total;2017;122
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;Total;2016;95
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;Total;2015;59
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;Total;2014;38
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;Total;2013;21
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;14 años;2023;3
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;14 años;2022;8
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;14 años;2021;92
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;14 años;2020;88
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;14 años;2019;98
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;14 años;2018;75
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;14 años;2017;28
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;14 años;2016;28
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;14 años;2015;18
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;14 años;2014;9
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;14 años;2013;4
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;15 años;2023;1
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;15 años;2022;5
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;15 años;2021;137
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;15 años;2020;76
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;15 años;2019;76
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;15 años;2018;61
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;15 años;2017;45
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;15 años;2016;17
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;15 años;2015;15
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;15 años;2014;9
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;15 años;2013;3
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;16 años;2023;3
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;16 años;2022;4
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;16 años;2021;80
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;16 años;2020;52
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;16 años;2019;114
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;16 años;2018;51
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;16 años;2017;29
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;16 años;2016;28
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;16 años;2015;16
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;16 años;2014;13
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;16 años;2013;8
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;17 años;2023;3
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;17 años;2022;4
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;17 años;2021;69
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;17 años;2020;48
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;17 años;2019;35
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;17 años;2018;57
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;17 años;2017;20
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;17 años;2016;22
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;17 años;2015;10
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;17 años;2014;7
Total Infracciones;A Delitos;8 Contra la libertad e indemnidad sexuales;8.99 Otros delitos contra la libertad e indemnidad sexuales;;17 años;2013;6
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;Total;2023;192
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;Total;2022;209
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;Total;2021;230
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;Total;2020;171
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;Total;2019;188
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;Total;2018;164
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;Total;2017;127
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;Total;2016;141
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;Total;2015;157
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;Total;2014;111
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;Total;2013;114
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;14 años;2023;48
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;14 años;2022;44
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;14 años;2021;58
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;14 años;2020;36
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;14 años;2019;51
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;14 años;2018;51
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;14 años;2017;39
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;14 años;2016;37
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;14 años;2015;30
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;14 años;2014;25
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;14 años;2013;29
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;15 años;2023;57
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;15 años;2022;63
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;15 años;2021;68
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;15 años;2020;64
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;15 años;2019;62
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;15 años;2018;47
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;15 años;2017;29
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;15 años;2016;40
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;15 años;2015;48
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;15 años;2014;42
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;15 años;2013;25
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;16 años;2023;42
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;16 años;2022;52
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;16 años;2021;58
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;16 años;2020;42
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;16 años;2019;48
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;16 años;2018;37
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;16 años;2017;37
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;16 años;2016;35
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;16 años;2015;42
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;16 años;2014;22
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;16 años;2013;27
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;17 años;2023;45
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;17 años;2022;50
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;17 años;2021;46
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;17 años;2020;29
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;17 años;2019;27
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;17 años;2018;29
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;17 años;2017;22
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;17 años;2016;29
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;17 años;2015;37
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;17 años;2014;22
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;;;17 años;2013;33
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;Total;2023;130
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;Total;2022;157
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;Total;2021;166
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;Total;2020;110
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;Total;2019;139
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;Total;2018;105
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;Total;2017;75
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;Total;2016;79
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;Total;2015;82
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;Total;2014;38
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;Total;2013;40
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;14 años;2023;39
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;14 años;2022;42
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;14 años;2021;51
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;14 años;2020;29
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;14 años;2019;42
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;14 años;2018;36
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;14 años;2017;24
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;14 años;2016;23
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;14 años;2015;20
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;14 años;2014;10
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;14 años;2013;12
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;15 años;2023;45
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;15 años;2022;54
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;15 años;2021;53
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;15 años;2020;46
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;15 años;2019;51
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;15 años;2018;30
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;15 años;2017;16
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;15 años;2016;25
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;15 años;2015;29
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;15 años;2014;15
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;15 años;2013;7
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;16 años;2023;20
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;16 años;2022;32
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;16 años;2021;40
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;16 años;2020;24
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;16 años;2019;36
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;16 años;2018;22
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;16 años;2017;24
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;16 años;2016;23
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;16 años;2015;19
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;16 años;2014;6
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;16 años;2013;13
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;17 años;2023;26
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;17 años;2022;29
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;17 años;2021;22
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;17 años;2020;11
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;17 años;2019;10
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;17 años;2018;17
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;17 años;2017;11
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;17 años;2016;8
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;17 años;2015;14
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;17 años;2014;7
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.1 Descubrimiento y revelación de secretos;;17 años;2013;8
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;Total;2023;62
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;Total;2022;52
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;Total;2021;64
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;Total;2020;61
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;Total;2019;49
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;Total;2018;59
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;Total;2017;52
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;Total;2016;62
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;Total;2015;75
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;Total;2014;73
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;Total;2013;74
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;14 años;2023;9
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;14 años;2022;2
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;14 años;2021;7
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;14 años;2020;7
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;14 años;2019;9
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;14 años;2018;15
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;14 años;2017;15
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;14 años;2016;14
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;14 años;2015;10
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;14 años;2014;15
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;14 años;2013;17
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;15 años;2023;12
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;15 años;2022;9
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;15 años;2021;15
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;15 años;2020;18
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;15 años;2019;11
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;15 años;2018;17
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;15 años;2017;13
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;15 años;2016;15
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;15 años;2015;19
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;15 años;2014;27
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;15 años;2013;18
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;16 años;2023;22
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;16 años;2022;20
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;16 años;2021;18
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;16 años;2020;18
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;16 años;2019;12
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;16 años;2018;15
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;16 años;2017;13
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;16 años;2016;12
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;16 años;2015;23
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;16 años;2014;16
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;16 años;2013;14
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;17 años;2023;19
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;17 años;2022;21
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;17 años;2021;24
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;17 años;2020;18
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;17 años;2019;17
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;17 años;2018;12
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;17 años;2017;11
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;17 años;2016;21
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;17 años;2015;23
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;17 años;2014;15
Total Infracciones;A Delitos;10 Contra la intimidad, derecho a la propia imagen;10.2 Allanamiento de morada;;17 años;2013;25
Total Infracciones;A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2023;8.563
Total Infracciones;A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2022;9.201
Total Infracciones;A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2021;9.277
Total Infracciones;A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2020;7.612
Total Infracciones;A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2019;10.147
Total Infracciones;A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2018;10.346
Total Infracciones;A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2017;10.075
Total Infracciones;A Delitos;13 Contra el patrimonio y el orden socioeconómico;;;Total;2016;9.548
